,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410,212391,325211,325193
6792,10,4,0,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.45266667,1,1,1,1,0.196,0.7350528000000001
6793,10,4,1,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.194,1,1,1,1,0.196,0.7247238
6794,10,4,2,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6795,10,4,3,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6796,10,4,4,1,0.7547731,0.7783815,1,1,0.2,0.73409665,0.194,1,1,1,1,0.196,0.7143948
6797,10,4,5,1,0.7584586999999999,0.78135264,1,1,0.46666667,0.74927795,0.45266667,1,1,1,1,0.45733333,0.7247238
6798,10,4,6,1,0.7621441999999999,0.78432375,1,1,0.73333335,0.7644592,0.71133333,1,1,1,1,0.7186667,0.7350528000000001
6799,10,4,7,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6800,10,4,8,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6801,10,4,9,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6802,10,4,10,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6803,10,4,11,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6804,10,4,12,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6805,10,4,13,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6806,10,4,14,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6807,10,4,15,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6808,10,4,16,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6809,10,4,17,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6810,10,4,18,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6811,10,4,19,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6812,10,4,20,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.98,0.7453818
6813,10,4,21,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.7186667,0.7453818
6814,10,4,22,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.97,1,1,1,1,0.45733333,0.7453818
6815,10,4,23,1,0.76582974,0.78729486,1,1,1.0,0.7796405,0.71133333,1,1,1,1,0.196,0.7453818
6816,10,5,0,1,0.76038814,0.7838531999999999,1,1,0.73333335,0.76886004,0.45266667,1,1,1,1,0.196,0.72947764
