,Date,HourEnding,Settlement Point Price
496,2021/01/21,17,60.0784
497,2021/01/21,18,33.4054
498,2021/01/21,19,80.6152
499,2021/01/21,20,31.7996
500,2021/01/21,21,33.6427
501,2021/01/21,22,22.9207
502,2021/01/21,23,22.5005
503,2021/01/21,24,28.0929
504,2021/01/22,1,44.3401
505,2021/01/22,2,21.6388
506,2021/01/22,3,30.0403
507,2021/01/22,4,21.1403
508,2021/01/22,5,18.1473
509,2021/01/22,6,11.4071
510,2021/01/22,7,7.2362
511,2021/01/22,8,1.1067
512,2021/01/22,9,-16.6011
513,2021/01/22,10,-1.0702
514,2021/01/22,11,12.208
515,2021/01/22,12,13.5049
516,2021/01/22,13,16.3118
517,2021/01/22,14,17.1204
518,2021/01/22,15,18.2189
519,2021/01/22,16,19.8131
520,2021/01/22,17,19.2862
521,2021/01/22,18,19.8075
522,2021/01/22,19,23.8515
523,2021/01/22,20,21.2763
524,2021/01/22,21,25.1575
525,2021/01/22,22,19.7396
526,2021/01/22,23,19.5793
527,2021/01/22,24,19.8846
528,2021/01/23,1,14.6727
529,2021/01/23,2,9.0884
530,2021/01/23,3,13.8107
531,2021/01/23,4,14.9579
532,2021/01/23,5,15.9311
533,2021/01/23,6,16.4326
534,2021/01/23,7,18.7486
535,2021/01/23,8,19.2704
536,2021/01/23,9,19.3756
537,2021/01/23,10,20.0691
538,2021/01/23,11,23.599
539,2021/01/23,12,90.5827
540,2021/01/23,13,17.1896
541,2021/01/23,14,19.9034
542,2021/01/23,15,64.3149
543,2021/01/23,16,24.1687
544,2021/01/23,17,17.5172
545,2021/01/23,18,18.6403
546,2021/01/23,19,14.649
547,2021/01/23,20,13.7939
548,2021/01/23,21,12.8835
549,2021/01/23,22,13.2807
550,2021/01/23,23,13.1057
551,2021/01/23,24,13.9066
552,2021/01/24,1,14.1718
553,2021/01/24,2,11.3542
554,2021/01/24,3,10.6155
555,2021/01/24,4,7.7259
556,2021/01/24,5,11.622
557,2021/01/24,6,12.3835
558,2021/01/24,7,16.075
559,2021/01/24,8,8.0141
560,2021/01/24,9,6.9572
561,2021/01/24,10,53.3836
562,2021/01/24,11,19.2607
563,2021/01/24,12,146.4894
564,2021/01/24,13,19.8979
565,2021/01/24,14,17.1158
566,2021/01/24,15,19.633
567,2021/01/24,16,21.3083
568,2021/01/24,17,21.0243
569,2021/01/24,18,20.8737
570,2021/01/24,19,20.9884
571,2021/01/24,20,20.8163
572,2021/01/24,21,19.232
573,2021/01/24,22,18.8183
574,2021/01/24,23,21.978
575,2021/01/24,24,22.736
576,2021/01/25,1,22.7149
577,2021/01/25,2,23.6552
578,2021/01/25,3,34.9819
579,2021/01/25,4,60.1663
580,2021/01/25,5,18.4928
581,2021/01/25,6,10.3149
582,2021/01/25,7,9.1774
583,2021/01/25,8,11.4863
584,2021/01/25,9,16.0544
585,2021/01/25,10,16.4408
586,2021/01/25,11,16.5883
587,2021/01/25,12,95.7433
588,2021/01/25,13,39.2901
589,2021/01/25,14,93.7596
590,2021/01/25,15,54.6947
591,2021/01/25,16,36.8529
592,2021/01/25,17,26.4889
593,2021/01/25,18,23.2857
594,2021/01/25,19,22.3575
595,2021/01/25,20,19.3213
596,2021/01/25,21,16.3995
597,2021/01/25,22,16.2474
598,2021/01/25,23,10.7534
599,2021/01/25,24,16.2721
600,2021/01/26,1,19.3782
601,2021/01/26,2,19.2956
602,2021/01/26,3,17.1546
603,2021/01/26,4,17.2542
604,2021/01/26,5,17.4133
605,2021/01/26,6,15.7335
606,2021/01/26,7,17.7437
607,2021/01/26,8,16.4355
608,2021/01/26,9,16.3903
609,2021/01/26,10,4.9629
610,2021/01/26,11,7.2313
611,2021/01/26,12,6.5855
612,2021/01/26,13,27.5405
613,2021/01/26,14,25.8278
614,2021/01/26,15,72.7502
615,2021/01/26,16,44.1258
616,2021/01/26,17,27.6619
617,2021/01/26,18,28.8285
618,2021/01/26,19,266.936
619,2021/01/26,20,22.0374
620,2021/01/26,21,23.2478
621,2021/01/26,22,22.2561
622,2021/01/26,23,23.8785
623,2021/01/26,24,55.5487
624,2021/01/27,1,83.3904
625,2021/01/27,2,24.4143
